Value,Qty,References
"0",8,"R5 R6 R20 R21 R22 R26 R27 R28"
"100n",6,"C11 C24 C27 C29 C31 C33"
"10k",3,"R35 R36 R37"
"10n",6,"C12 C13 C25 C26 C28 C30"
"10u",20,"C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23"
"12H1500D",4,"F1 F2 F3 F4"
"1N4148WS",1,"D1"
"1u",1,"C32"
"22",6,"R17 R18 R19 R23 R24 R25"
"33k",1,"R2"
"4.7k",15,"R1 R9 R10 R11 R12 R13 R14 R15 R16 R29 R30 R31 R32 R33 R34"
"470R@100MHz",2,"L1 L2"
"5.6k",2,"R7 R8"
"50mA",6,"F5 F6 F7 F8 F9 F10"
"6.8k",1,"R3"
"776163-1",2,"J30 J31"
"B5819W",4,"D2 D3 D4 D5"
"CR1220",1,"BT1"
"Conn_01x05_Male",1,"J7"
"Conn_01x06",1,"J6"
"Conn_02x02_Odd_Even",14,"J1 J11 J12 J13 J14 J15 J16 J17 J18 J19 J20 J21 J22 J24"
"DNP",3,"R38 R39 R40"
"JDY-33",1,"U5"
"Jumper-Pad-Pad",1,"R4"
"LOGO",1,"G2"
"M3",4,"H1 H2 H3 H4"
"MAX31855KASA",1,"U4"
"MPX4/MPXH6400_MAP",1,"U3"
"Module-can-0.1",1,"M7"
"Module-knock-0.2",1,"M2"
"Module-power_12and5V-0.3",1,"M1"
"Module-vr-discrete-0.5",1,"M3"
"Module-vr-max9924-0.1",1,"M4"
"Module-wbo-0.5",1,"M5"
"Module:mega-mcu100/0.3",1,"M6"
"NUP2105L",1,"D8"
"PROTO_AREA",2,"G3 G4"
"Pad",12,"P1 P2 P3 P4 P5 P6 P7 P8 P15 P16 P17 P18"
"RUSEFI_LOGO",1,"G1"
"TLE9201SG",2,"U1 U2"
"USB_B_Mini",1,"J8"
"USB_C",1,"J9"
"VNLD5160TR-E",6,"U6 U7 U8 U9 U10 U11"
