Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1220","CR1220-2",142.000000,-134.500000,90.000000,bottom
"C1","10u","C0805",54.125000,-141.040000,-90.000000,bottom
"C2","10u","C0805",56.125000,-141.040000,-90.000000,bottom
"C3","10u","C0805",58.125000,-141.040000,-90.000000,bottom
"C4","10u","C0805",60.125000,-141.040000,-90.000000,bottom
"C5","10u","C0805",62.125000,-141.040000,-90.000000,bottom
"C6","10u","C0805",54.125000,-145.040000,90.000000,bottom
"C7","10u","C0805",56.125000,-145.040000,90.000000,bottom
"C8","10u","C0805",58.125000,-145.040000,90.000000,bottom
"C9","10u","C0805",60.125000,-145.040000,90.000000,bottom
"C10","10u","C0805",62.125000,-145.040000,90.000000,bottom
"C14","10u","C0805",60.600000,-150.500000,-90.000000,bottom
"C15","10u","C0805",62.600000,-150.500000,-90.000000,bottom
"C16","10u","C0805",64.600000,-150.500000,-90.000000,bottom
"C17","10u","C0805",66.600000,-150.500000,-90.000000,bottom
"C18","10u","C0805",68.600000,-150.500000,-90.000000,bottom
"C19","10u","C0805",60.600000,-154.500000,90.000000,bottom
"C20","10u","C0805",62.600000,-154.500000,90.000000,bottom
"C21","10u","C0805",64.600000,-154.500000,90.000000,bottom
"C22","10u","C0805",66.600000,-154.500000,90.000000,bottom
"C23","10u","C0805",68.600000,-154.500000,90.000000,bottom
"C27","100n","C0603",111.800000,-94.900000,-90.000000,bottom
"C28","10n","C0603",103.800000,-77.400000,0.000000,bottom
"C29","100n","C0603",105.500000,-82.917977,0.000000,bottom
"C30","10n","C0603",107.190001,-77.400000,180.000000,bottom
"C31","100n","C0603",109.600000,-86.500000,90.000000,bottom
"C32","1u","C0603",111.400000,-86.500000,90.000000,bottom
"C33","100n","C0603",147.000000,-126.000000,-90.000000,bottom
"D1","1N4148WS","SOD-323",138.000000,-144.000000,0.000000,bottom
"D2","B5819W","SOD-123",69.000000,-89.500000,90.000000,bottom
"D4","B5819W","SOD-123",69.000000,-82.000000,90.000000,bottom
"D8","NUP2105L","SOT-23",105.500000,-80.417977,-90.000000,bottom
"F5","50mA","Fuse_0603_1608Metric",80.050000,-104.600000,-90.000000,bottom
"F6","50mA","Fuse_0603_1608Metric",80.050000,-97.600000,-90.000000,bottom
"F7","50mA","Fuse_0603_1608Metric",80.150000,-111.600000,-90.000000,bottom
"F8","50mA","Fuse_0603_1608Metric",80.100000,-118.550000,-90.000000,bottom
"F9","50mA","Fuse_0603_1608Metric",80.100000,-125.550000,-90.000000,bottom
"F10","50mA","Fuse_0603_1608Metric",133.150000,-127.550000,-90.000000,bottom
"L1","470R@100MHz","L_0603_1608Metric",106.500000,-75.000000,-90.000000,bottom
"L2","470R@100MHz","L_0603_1608Metric",104.500000,-75.000000,-90.000000,bottom
"R2","33k","R0603",66.000000,-139.000000,90.000000,bottom
"R3","6.8k","R0603",66.000000,-142.000000,90.000000,bottom
"R5","0","R0603",106.900000,-98.200000,-90.000000,bottom
"R6","0","R0603",127.600000,-89.200000,-90.000000,bottom
"R7","5.6k","R0603",99.000000,-155.621682,90.000000,bottom
"R8","5.6k","R0603",101.500000,-155.621682,90.000000,bottom
"R12","4.7k","R0603",80.300000,-83.300000,90.000000,bottom
"R13","4.7k","R0603",80.300000,-86.700000,90.000000,bottom
"R15","4.7k","R0603",52.500000,-70.150000,90.000000,bottom
"R16","4.7k","R0603",55.050000,-70.150000,90.000000,bottom
"R17","22","R0603",78.512500,-97.600000,90.000000,bottom
"R18","22","R0603",78.512500,-104.600000,90.000000,bottom
"R19","22","R0603",78.512500,-111.600000,90.000000,bottom
"R20","0","R_2512_6332Metric",73.900000,-97.600000,180.000000,bottom
"R21","0","R_2512_6332Metric",73.900000,-104.600000,180.000000,bottom
"R22","0","R_2512_6332Metric",73.900000,-111.600000,180.000000,bottom
"R23","22","R0603",78.512500,-118.600000,90.000000,bottom
"R24","22","R0603",78.512500,-125.600000,90.000000,bottom
"R25","22","R0603",78.512500,-132.600000,90.000000,bottom
"R26","0","R_2512_6332Metric",73.900000,-118.600000,180.000000,bottom
"R27","0","R_2512_6332Metric",73.900000,-125.600000,180.000000,bottom
"R28","0","R_2512_6332Metric",73.900000,-132.600000,180.000000,bottom
"R29","4.7k","R0603",54.250000,-118.200000,90.000000,bottom
"R30","4.7k","R0603",86.200000,-133.850000,90.000000,bottom
"R31","4.7k","R0603",52.550000,-118.200000,90.000000,bottom
